Dokumen,UI (%),OI (%),MWC
"4 Calon Kuat Penerus Paus Fransiskus, Ada dari Tetangga RI_10.txt",0.58,98.56,2.73
"AS Soroti QRIS & GPN dalam Negosiasi Dagang, Ini Alasannya_1.txt",0.5,98.75,3.3
Dampak Tarif Resiprokal Trump terhadap Industri di Indonesia_1.txt,0.81,98.86,2.86
Dilema Persalinan Caesar di Era JKN Antara Hak Ibu dan Efisiensi Anggaran_4.txt,0.86,98.65,2.84
"Dugaan Ekspoitasi Mantan Pemain Sirkus, Komisi III DPR Gelar Audiensi Hari ini_2.txt",0.65,98.92,3.11
Eksistensi Media Massa Nasional_5.txt,57.46,9.13,1.2
Global South dan Ilusi Netralitas_10.txt,0.89,98.72,2.59
Gonjang-ganjing Isu Evakuasi Warga Gaza ke Indonesia_2.txt,0.8,98.6,2.56
Kel3_Makna Kebersamaan dalam Tradisi Mengibung dan Kembul Bejana.txt,0.39,98.95,2.79
Kel3_Peran Bimbingan dan Konseling Dalam Pendidikan Karakter    .txt,0.49,98.53,3.05
Kel3_Senarai Catatan di Hari Buku Sedunia dan Tantangan Literasi Indonesia.txt,0.39,99.22,3.11
Kel6_Bagaimana mengubah  eco-anxiety kita menjadi aksi untuk Bumi.txt,0.59,98.24,2.81
Kel6_Benarkah anak-anak butuh mata pelajaran koding dan AI di sekolah.txt,1.05,97.91,3.2
Kel6_Kecanduan media sosial bikin anak muda rentan kena gangguan makan.txt,2.09,96.93,2.68
Kelompok 8_Ini 5 Bahaya Makanan Junk Food yang Perlu Diwaspadai.txt,41.17,31.57,1.58
Kelompok 8_Ketika Jas Putih Menjadi Tameng Menggugat Sistem Pendidikan Dokter Spesialis di Indonesia (1).txt,0.53,98.67,2.65
Kelompok 8_Rupiah di Tengah Perekonomian yang Tertekan.txt,0.74,98.64,2.98
Kelompok7_Okupasi Senyap Ruang Angkasa.txt,1.12,98.79,2.93
Kelompok7_Pendidikan Dasar dan Menengah yang bermutu untuk seluruh rakyat.txt,0.76,98.67,2.97
Kelompok7_Teknologi Dirgantara Untuk Operasi Bantuan Kemanusiaan.txt,0.73,98.78,3.06
Kelompok9_China Ancam Negara-negara yang Negosiasi Perang Tarif Trump.txt,0.76,97.98,3.1
Kelompok9_Rupiah di Tengah Perekonomian yang Tertekan.txt,1.01,97.86,2.83
Korupsi yang Menjegal Daerah_2.txt,1.04,97.66,2.6
Melanjutkan Cita-cita Politik Kartini_4.txt,0.4,99.05,2.85
Merawat Kartini di Kebun Nirkertas_9.txt,0.13,99.48,2.55
Peran Media Massa dalam Membentuk Opini Publik_5.txt,52.91,8.63,1.33
Ragam Keluhan Mitra MBG Menalangi Biaya hingga Jual Barang Pribadi_Kel 1.txt,0.64,98.72,2.52
Robot Ikut Lomba Lari_4.txt,1.77,97.72,2.77
TKDN dan Negosiasi Dagang RI-AS_10.txt,1.02,97.96,2.98
"Untuk Bantu Pahami Matematika, Anak Perlu Metode Belajar Interaktif_5.txt",1.11,98.34,3.17
RATA-RATA,5.78,90.28,2.72
